SKU,Brand,Product_Name,Category,Launch_Year,MSRP
TAB-ZEN-0009,Zenith,Zenith Tab 10,Tablet,2022,863.75
LAP-VOR-0009,Vortexa,Vortexa TravelLite 12,Laptop,2021,1388.45
PHN-ZEN-0012,Zenith,Zenith X1,Smartphone,2024,1169.13
LAP-VOR-0010,Vortexa,Vortexa Force 15 Gaming,Laptop,2023,1708.04
LAP-SOL-0011,Solace,Solace Studio 16,Laptop,2023,2099.23
TAB-ZEN-0010,Zenith,Zenith Slate 8,Tablet,2022,523.48
LAP-NIM-0012,Nimbus,Nimbus Force 15 Gaming,Laptop,2023,1352.13
PHN-EMB-0013,Emberline,Emberline X1,Smartphone,2025,986.47
TAB-EMB-0011,Emberline,Emberline Slate 8,Tablet,2023,609.61
LAP-ZEN-0013,Zenith,Zenith EliteBook X,Laptop,2021,735.65
PHN-ORB-0014,Orbital,Orbital Edge 7,Smartphone,2022,1160.53
LAP-ZEN-0014,Zenith,Zenith TravelLite 12,Laptop,2023,885.63
TAB-ORB-0012,Orbital,Orbital Tab 10 Pro,Tablet,2024,959.62
LAP-SOL-0015,Solace,Solace Force 15 Gaming,Laptop,2021,1789.36
WCH-ORB-0003,Orbital,Orbital Watch S1,Smartwatch,2022,226.5
EAR-ZEN-0004,Zenith,Zenith Buds Air,Wireless Earbuds,2024,197.7
EAR-ZEN-0005,Zenith,Zenith Buds Sport,Wireless Earbuds,2025,86.54
TAB-EMB-0013,Emberline,Emberline Tab 10 Pro,Tablet,2023,742.95
TAB-SOL-0014,Solace,Solace Canvas 11,Tablet,2021,661.21
PHN-EMB-0015,Emberline,Emberline Flip 3,Smartphone,2021,1367.98
LAP-VOR-0016,Vortexa,Vortexa EliteBook X,Laptop,2024,2093.8
TAB-VOR-0015,Vortexa,Vortexa Tab 10,Tablet,2022,396.1
LAP-SOL-0017,Solace,Solace EliteBook X,Laptop,2025,940.45
LAP-VOR-0018,Vortexa,Vortexa Air 13,Laptop,2023,1538.3
PHN-NIM-0016,Nimbus,Nimbus X1,Smartphone,2021,1217.61
TAB-SOL-0016,Solace,Solace Slate 8,Tablet,2024,515.34
TAB-VOR-0017,Vortexa,Vortexa Canvas 11,Tablet,2025,861.29
PHN-ORB-0017,Orbital,Orbital X1 Pro,Smartphone,2025,1309.49
PHN-ZEN-0018,Zenith,Zenith Nova 5,Smartphone,2025,467.02
WCH-SOL-0004,Solace,Solace Watch S1,Smartwatch,2022,348.06
WCH-NIM-0005,Nimbus,Nimbus Watch S1 Sport,Smartwatch,2022,499.22
LAP-SOL-0019,Solace,Solace Air 13,Laptop,2021,1357.59
EAR-SOL-0006,Solace,Solace Buds Air Pro,Wireless Earbuds,2025,131.5
EAR-VOR-0007,Vortexa,Vortexa Buds Air,Wireless Earbuds,2021,170.62
PHN-VOR-0019,Vortexa,Vortexa Edge 7,Smartphone,2022,362.5
PHN-VOR-0020,Vortexa,Vortexa Flip 3,Smartphone,2025,1149.49
PHN-NIM-0021,Nimbus,Nimbus Edge 7,Smartphone,2021,330.65
WCH-EMB-0006,Emberline,Emberline Watch S1 Sport,Smartwatch,2025,425.64
EAR-VOR-0008,Vortexa,Vortexa Buds Sport,Wireless Earbuds,2023,99.85
PHN-EMB-0022,Emberline,Emberline Nova 5 Lite,Smartphone,2024,886.61
LAP-EMB-0020,Emberline,Emberline Force 15 Gaming,Laptop,2025,996.25
WCH-ZEN-0007,Zenith,Zenith Watch S1 Sport,Smartwatch,2023,573.98
WCH-VOR-0008,Vortexa,Vortexa Watch S1 Sport,Smartwatch,2022,551.74
WCH-SOL-0009,Solace,Solace Pulse Band 2,Smartwatch,2021,211.71
WCH-EMB-0010,Emberline,Emberline Pulse Band 2,Smartwatch,2022,292.19
EAR-VOR-0009,Vortexa,Vortexa Buds Air Pro,Wireless Earbuds,2023,103.17
PHN-ZEN-0023,Zenith,Zenith Flip 3,Smartphone,2022,1286.73
LAP-EMB-0021,Emberline,Emberline Pro 14,Laptop,2023,1629.53
TAB-VOR-0018,Vortexa,Vortexa Slate 8,Tablet,2024,912.12
WCH-NIM-0011,Nimbus,Nimbus Pulse Band 2,Smartwatch,2024,578.63
LAP-ORB-0022,Orbital,Orbital Air 13,Laptop,2022,860.47
LAP-VOR-0023,Vortexa,Vortexa Studio 16,Laptop,2025,1290.43
TAB-SOL-0019,Solace,Solace Tab 10 Pro,Tablet,2023,565.96
PHN-NIM-0024,Nimbus,Nimbus Nova 5 Lite,Smartphone,2021,1094.37
WCH-ZEN-0012,Zenith,Zenith Watch S1,Smartwatch,2021,356.4
WCH-VOR-0013,Vortexa,Vortexa Pulse Band 2,Smartwatch,2023,382.85
PHN-SOL-0025,Solace,Solace Nova 5 Lite,Smartphone,2022,370.72
EAR-EMB-0010,Emberline,Emberline Buds Air Pro,Wireless Earbuds,2023,76.19
EAR-NIM-0011,Nimbus,Nimbus Buds Air,Wireless Earbuds,2022,276.47
PHN-NIM-0026,Nimbus,Nimbus X1 Pro,Smartphone,2024,442.51
LAP-ORB-0024,Orbital,Orbital Studio 16,Laptop,2023,1681.56
PHN-SOL-0027,Solace,Solace Flip 3,Smartphone,2025,890.26
LAP-NIM-0025,Nimbus,Nimbus Studio 16,Laptop,2021,1720.67
WCH-ORB-0014,Orbital,Orbital Pulse Band 2,Smartwatch,2022,509.81
LAP-ZEN-0026,Zenith,Zenith Pro 14,Laptop,2021,715.86
PHN-ORB-0028,Orbital,Orbital Nova 5,Smartphone,2021,1181.79
EAR-SOL-0012,Solace,Solace Buds Air,Wireless Earbuds,2023,105.6
TAB-NIM-0020,Nimbus,Nimbus Tab 10 Pro,Tablet,2023,590.33
WCH-EMB-0015,Emberline,Emberline Watch S1,Smartwatch,2023,337.99
EAR-ORB-0013,Orbital,Orbital Buds Sport,Wireless Earbuds,2022,60.8
WCH-ORB-0016,Orbital,Orbital Watch S1 Sport,Smartwatch,2023,586.15
TAB-ORB-0021,Orbital,Orbital Tab 10,Tablet,2023,401.33
LAP-EMB-0027,Emberline,Emberline TravelLite 12,Laptop,2022,1449.74
LAP-ORB-0028,Orbital,Orbital EliteBook X,Laptop,2022,1400.14
TAB-NIM-0022,Nimbus,Nimbus Tab 10,Tablet,2023,852.76
EAR-EMB-0014,Emberline,Emberline Buds Air,Wireless Earbuds,2025,54.61
EAR-ORB-0015,Orbital,Orbital Buds Air Pro,Wireless Earbuds,2024,97.36
PHN-VOR-0029,Vortexa,Vortexa X1,Smartphone,2024,791.76
PHN-SOL-0030,Solace,Solace Edge 7,Smartphone,2024,900.5
EAR-ORB-0016,Orbital,Orbital Buds Air,Wireless Earbuds,2022,126.95
LAP-SOL-0029,Solace,Solace Pro 14,Laptop,2022,1148.33
LAP-ZEN-0030,Zenith,Zenith Force 15 Gaming,Laptop,2021,1156.08
PHN-ORB-0031,Orbital,Orbital Flip 3,Smartphone,2023,315.68
PHN-VOR-0032,Vortexa,Vortexa X1 Pro,Smartphone,2024,360.94
LAP-ZEN-0031,Zenith,Zenith Studio 16,Laptop,2023,1672.87
LAP-NIM-0032,Nimbus,Nimbus TravelLite 12,Laptop,2021,1708.3
LAP-EMB-0033,Emberline,Emberline EliteBook X,Laptop,2024,852.05
PHN-EMB-0033,Emberline,Emberline Edge 7,Smartphone,2023,700.56
EAR-NIM-0017,Nimbus,Nimbus Buds Sport,Wireless Earbuds,2022,186.77
LAP-ZEN-0034,Zenith,Zenith Air 13,Laptop,2022,2011.82
TAB-NIM-0023,Nimbus,Nimbus Slate 8,Tablet,2024,250.8
PHN-ZEN-0034,Zenith,Zenith Edge 7,Smartphone,2022,606.82
EAR-EMB-0018,Emberline,Emberline Buds Sport,Wireless Earbuds,2021,244.06
PHN-SOL-0035,Solace,Solace Nova 5,Smartphone,2024,398.73
WCH-VOR-0017,Vortexa,Vortexa Watch S1,Smartwatch,2023,327.29
LAP-VOR-0035,Vortexa,Vortexa Pro 14,Laptop,2025,972.5
LAP-ORB-0036,Orbital,Orbital Pro 14,Laptop,2022,1965.2
WCH-ZEN-0018,Zenith,Zenith Pulse Band 2,Smartwatch,2025,472.2
PHN-NIM-0036,Nimbus,Nimbus Nova 5,Smartphone,2024,658.75
TAB-ORB-0024,Orbital,Orbital Slate 8,Tablet,2022,793.12
