Listing_ID,Title,Condition,Price,Seller_Rating,Seller_Location,Listed_Date,Watchers
EBY-000020,Zenith Nova 5 - Used - Fair - Fast Shipping,Used - Fair,126.04,89.8,DE,2026-06-29,5
EBY-000021,Vortexa Buds Air Used - Excellent L@@K!!,Used - Excellent,89.54,98.5,US,2026-04-27,48
EBY-000022,Genuine Solace Buds Air Used - Fair Tested Working,Used - Fair,15.87,92.3,US,2026-06-02,12
EBY-000023,Emberline Flip 3 New w/ Charger Bundle,New,1344.52,95.0,IN,2025-01-22,16
EBY-000024,Emberline Watch S1 Sport Used - Excellent w/ Charger Bundle,Used - Excellent,261.72,96.2,SG,2026-03-05,32
EBY-000025,Genuine Solace Air 13 Used - Good Tested Working,Used - Good,612.83,94.3,SG,2025-11-03,10
EBY-000026,** Solace Force 15 Gaming ** Open Box SALE,Open Box,1371.88,88.1,AU,2025-07-14,46
EBY-000027,Orbital Watch S1 Used - Good L@@K!!,Used - Good,134.52,86.1,SG,2025-09-23,4
EBY-000028,Nimbus Buds Air Used - Fair L@@K!!,Used - Fair,100.91,85.0,IN,2025-01-01,33
EBY-000029,GENUINE EMBERLINE BUDS AIR PRO USED - EXCELLENT TESTED WORKING,Used - Excellent,52.37,85.4,UK,2025-04-09,32
EBY-000030,Vortexa X1 (Used - Good) Free Ship,Used - Good,389.61,85.3,CA,2026-05-30,30
EBY-000031,Genuine Vortexa Slate 8 Used - Excellent Tested Working,Used - Excellent,741.01,86.6,CA,2025-06-26,24
EBY-000032,Genuine Vortexa Nova 5 Lite Used - Good Tested Working,Used - Good,562.39,96.7,IN,2025-07-06,4
EBY-000033,Orbital Slate 8 Used - Good w/ Charger Bundle,Used - Good,468.29,93.3,AU,2025-03-08,31
EBY-000034,Solace Edge 7 - Used - Good - Fast Shipping,Used - Good,320.21,87.0,US,2025-08-17,18
EBY-000035,Orbital  X1  Used  -  Fair  L@@K!!,Used - Fair,248.72,97.6,CA,2026-03-05,21
EBY-000036,** Orbital X1 Pro ** Used - Good SALE,Used - Good,598.98,97.0,UK,2025-08-25,35
EBY-000037,Emberline Canvas 11 (New) Free Ship,New,311.36,89.5,DE,2025-04-05,31
EBY-000038,Orbital Buds Air For Parts/Not Working w/ Charger Bundle,For Parts/Not Working,11.38,87.4,AU,2025-04-01,52
EBY-000039,Nimbus Studio 16 (Open Box) Free Ship,Open Box,1530.57,,CA,2025-05-11,3
EBY-000040,Orbital X1 For Parts/Not Working w/ Charger Bundle,For Parts/Not Working,125.48,94.7,DE,2026-04-23,56
EBY-000041,** SOLACE X1 PRO ** USED - GOOD SALE,Used - Good,519.85,98.1,SG,2025-07-03,2
EBY-000042,Zenith Buds Air Used - Good L@@K!!,Used - Good,77.07,86.7,UK,2025-11-25,8
EBY-000043,NIMBUS WATCH S1 - FOR PARTS/NOT WORKING - FAST SHIPPING,For Parts/Not Working,40.52,85.3,CA,2026-05-09,17
EBY-000044,Solace  TravelLite  12  (New)  Free  Ship,New,1184.55,96.8,AU,2025-07-18,46
EBY-000045,EMBERLINE BUDS AIR USED - GOOD L@@K!!,Used - Good,21.62,86.8,IN,2025-07-18,49
EBY-000046,** Vortexa TravelLite 12 ** Used - Good SALE,Used - Good,397.02,95.1,US,2025-02-05,27
EBY-000047,** Solace Force 15 Gaming ** Used - Good SALE,Used - Good,966.38,85.6,DE,2026-06-24,36
EBY-000048,VORTEXA FLIP 3 OPEN BOX L@@K!!,Open Box,831.87,89.1,IN,2026-02-23,51
EBY-000049,Emberline EliteBook X - Used - Excellent - Fast Shipping,Used - Excellent,603.0,98.7,CA,2025-11-05,53
EBY-000050,Emberline EliteBook X Used - Excellent w/ Charger Bundle,Used - Excellent,597.38,89.5,IN,2025-10-20,6
EBY-000051,Solace Edge 7 (Used - Good) Free Ship,Used - Good,333.04,89.2,IN,2025-11-13,32
EBY-000052,Zenith EliteBook X (Used - Excellent) Free Ship,Used - Excellent,391.76,96.1,DE,2026-03-30,45
EBY-000053,Nimbus Buds Sport Used - Good w/ Charger Bundle,Used - Good,95.32,89.8,DE,2026-04-28,58
EBY-000054,Orbital Buds Air For Parts/Not Working w/ Charger Bundle,For Parts/Not Working,6.35,91.0,IN,2026-06-26,54
EBY-000055,EMBERLINE PRO 14 FOR PARTS/NOT WORKING W/ CHARGER BUNDLE,For Parts/Not Working,270.15,92.0,IN,2025-10-16,16
EBY-000056,Genuine Vortexa Nova 5 Lite Used - Good Tested Working,Used - Good,544.73,93.3,UK,2026-05-29,42
EBY-000057,** Zenith Buds Air Pro ** Open Box SALE,Open Box,244.89,92.1,AU,2025-08-14,39
EBY-000058,Solace X1 (Used - Fair) Free Ship,Used - Fair,214.28,89.6,UK,2025-09-10,0
EBY-000059,** Zenith Air 13 ** New SALE,New,1963.86,92.4,IN,2026-01-21,15
EBY-000060,Genuine Nimbus EliteBook X Used - Good Tested Working,Used - Good,240.21,93.9,CA,2025-04-02,60
EBY-000061,Emberline X1 Pro Used - Good L@@K!!,Used - Good,323.69,96.1,AU,2025-01-06,58
EBY-000062,Nimbus Nova 5 New w/ Charger Bundle,New,682.66,92.3,AU,2025-01-16,19
EBY-000063,** SOLACE BUDS AIR ** USED - GOOD SALE,Used - Good,41.44,92.9,SG,2025-03-01,43
EBY-000064,Solace Studio 16 Used - Good w/ Charger Bundle,Used - Good,799.76,86.2,DE,2026-07-03,16
EBY-000065,Vortexa X1 New w/ Charger Bundle,New,765.36,96.0,AU,2026-01-01,27
EBY-000066,Solace Buds Air - For Parts/Not Working - Fast Shipping,For Parts/Not Working,10.7,89.6,AU,2025-03-09,15
EBY-000067,Zenith Slate 8 (Used - Excellent) Free Ship,Used - Excellent,411.82,95.9,US,2025-05-20,24
EBY-000068,Vortexa Nova 5 Lite - Used - Excellent - Fast Shipping,Used - Excellent,754.85,99.9,UK,2025-10-01,55
EBY-000069,Genuine Nimbus X1 New Tested Working,New,887.47,85.9,SG,2025-11-08,38
EBY-000070,** Solace Buds Sport ** Open Box SALE,Open Box,63.12,89.4,DE,2026-02-21,23
EBY-000071,Orbital Edge 7 Used - Good L@@K!!,Used - Good,561.53,87.9,US,2025-12-15,33
EBY-000072,NIMBUS X1 PRO USED - FAIR W/ CHARGER BUNDLE,Used - Fair,110.81,88.3,AU,2025-12-14,0
EBY-000073,Genuine Orbital Watch S1 Used - Fair Tested Working,Used - Fair,52.76,91.3,UK,2026-03-06,29
EBY-000074,Nimbus Edge 7 Used - Excellent w/ Charger Bundle,Used - Excellent,237.86,88.3,DE,2025-10-14,43
EBY-000075,EMBERLINE WATCH S1 SPORT USED - EXCELLENT W/ CHARGER BUNDLE,Used - Excellent,260.44,98.0,US,2026-03-19,15
EBY-000076,Nimbus Tab 10 - Used - Good - Fast Shipping,Used - Good,518.34,93.1,SG,2025-04-07,3
EBY-000077,Emberline TravelLite 12 Open Box w/ Charger Bundle,Open Box,1276.77,93.3,SG,2026-01-18,44
EBY-000078,** Emberline Buds Air Pro ** New SALE,New,79.16,85.3,SG,2025-06-08,16
EBY-000079,Zenith Nova 5 Lite New w/ Charger Bundle,New,489.31,95.4,US,2025-04-05,53
EBY-000080,** Orbital Buds Air ** Used - Good SALE,Used - Good,51.99,,AU,2025-11-23,4
EBY-000081,Zenith Nova 5 Lite Used - Excellent w/ Charger Bundle,Used - Excellent,353.84,95.1,US,2025-08-11,50
EBY-000082,Zenith Flip 3 (Used - Excellent) Free Ship,Used - Excellent,552.2,91.8,UK,2026-01-09,20
EBY-000083,Genuine Vortexa Buds Air Pro Used - Excellent Tested Working,Used - Excellent,43.14,,AU,2026-06-27,28
EBY-000084,Genuine Solace Buds Sport Used - Excellent Tested Working,Used - Excellent,51.32,95.6,AU,2026-04-14,19
EBY-000085,EMBERLINE WATCH S1 SPORT USED - EXCELLENT L@@K!!,Used - Excellent,284.76,,US,2025-06-07,43
EBY-000086,Solace  Nova  5  (Used  -  Good)  Free  Ship,Used - Good,211.07,90.6,UK,2025-10-02,39
EBY-000087,Genuine Solace Canvas 11 Used - Excellent Tested Working,Used - Excellent,543.47,89.2,DE,2025-11-13,38
EBY-000088,Orbital Edge 7 Used - Good L@@K!!,Used - Good,609.18,92.1,IN,2025-06-25,11
EBY-000089,** Vortexa EliteBook X ** New SALE,New,1530.99,99.2,UK,2026-02-02,32
EBY-000090,Zenith Pro 14 Used - Good w/ Charger Bundle,Used - Good,314.44,89.5,CA,2026-06-27,56
EBY-000091,Nimbus Tab 10 (Used - Good) Free Ship,Used - Good,410.54,86.3,SG,2025-11-03,56
EBY-000092,Solace Watch S1 Sport (Used - Fair) Free Ship,Used - Fair,69.68,93.2,IN,2025-01-28,60
EBY-000093,** Nimbus Buds Sport ** Used - Excellent SALE,Used - Excellent,137.91,87.5,CA,2025-09-26,48
EBY-000094,Solace Watch S1 (Used - Good) Free Ship,Used - Good,138.39,97.5,DE,2026-06-19,8
EBY-000095,Vortexa Edge 7 - New - Fast Shipping,New,380.62,88.2,US,2026-03-10,4
EBY-000096,Emberline Slate 8 For Parts/Not Working L@@K!!,For Parts/Not Working,28.43,94.6,DE,2025-03-20,2
EBY-000097,Zenith Force 15 Gaming Used - Fair L@@K!!,Used - Fair,186.1,93.0,AU,2025-06-03,5
EBY-000098,Vortexa Buds Sport Used - Good L@@K!!,Used - Good,49.78,94.7,IN,2025-04-06,47
EBY-000099,Vortexa Tab 10 - Used - Excellent - Fast Shipping,Used - Excellent,286.88,96.0,AU,2025-01-11,32
EBY-000100,Genuine Solace Air 13 Used - Good Tested Working,Used - Good,538.12,91.1,SG,2025-02-13,3
EBY-000101,Genuine  Vortexa  X1  Pro  New  Tested  Working,New,236.21,86.3,DE,2026-04-04,53
EBY-000102,Solace Nova 5 - Used - Excellent - Fast Shipping,Used - Excellent,234.28,,UK,2025-09-15,7
EBY-000103,Nimbus Pro 14 Used - Excellent w/ Charger Bundle,Used - Excellent,999.14,92.8,DE,2026-07-01,6
EBY-000104,Solace Edge 7 Used - Good w/ Charger Bundle,Used - Good,339.68,90.8,IN,2025-12-12,27
EBY-000105,Genuine Orbital Nova 5 Used - Good Tested Working,Used - Good,476.04,,AU,2025-02-14,48
EBY-000106,Zenith X1 Pro - Used - Excellent - Fast Shipping,Used - Excellent,609.37,93.4,DE,2025-05-22,33
EBY-000107,SOLACE X1 - USED - GOOD - FAST SHIPPING,Used - Good,346.13,94.7,UK,2026-03-30,57
EBY-000108,Genuine Zenith Pro 14 Used - Excellent Tested Working,Used - Excellent,439.8,97.9,DE,2025-09-16,14
EBY-000109,** Solace Nova 5 ** Used - Excellent SALE,Used - Excellent,278.71,86.1,IN,2026-04-22,34
EBY-000110,Solace X1 Pro (Used - Fair) Free Ship,Used - Fair,223.71,89.6,IN,2025-08-29,13
EBY-000111,** Emberline Pulse Band 2 ** Used - Fair SALE,Used - Fair,64.81,88.5,SG,2025-09-18,54
EBY-000112,** Emberline Nova 5 ** Open Box SALE,Open Box,339.07,94.7,CA,2025-01-26,54
EBY-000113,Genuine Zenith Air 13 Used - Excellent Tested Working,Used - Excellent,1403.34,93.4,US,2025-01-09,43
EBY-000114,Vortexa EliteBook X (Used - Excellent) Free Ship,Used - Excellent,1109.17,91.7,UK,2025-03-31,58
EBY-000115,NIMBUS SLATE 8 OPEN BOX W/ CHARGER BUNDLE,Open Box,219.19,,SG,2026-04-24,51
EBY-000116,Emberline Edge 7 (Used - Fair) Free Ship,Used - Fair,149.43,91.4,UK,2025-06-11,33
EBY-000117,Emberline X1 Pro (Used - Good) Free Ship,Used - Good,258.68,88.0,US,2025-03-14,20
EBY-000118,** Solace Nova 5 ** Used - Excellent SALE,Used - Excellent,238.01,92.7,IN,2026-06-01,49
EBY-000119,Zenith Nova 5 Used - Good L@@K!!,Used - Good,277.91,96.7,US,2025-01-21,19
EBY-000120,Orbital Force 15 Gaming Open Box L@@K!!,Open Box,1006.75,100.0,IN,2025-07-28,27
EBY-000121,Orbital EliteBook X Open Box L@@K!!,Open Box,1208.03,93.1,SG,2025-02-20,50
EBY-000122,Vortexa Buds Sport (For Parts/Not Working) Free Ship,For Parts/Not Working,14.11,98.5,IN,2025-04-10,5
EBY-000123,Nimbus Watch S1 Sport - Used - Fair - Fast Shipping,Used - Fair,205.79,86.6,DE,2026-05-21,26
EBY-000124,Emberline EliteBook X For Parts/Not Working w/ Charger Bundle,For Parts/Not Working,120.5,90.5,SG,2026-03-18,32
EBY-000125,Orbital Slate 8 - Used - Fair - Fast Shipping,Used - Fair,316.76,99.2,IN,2025-05-30,5
EBY-000126,Genuine Nimbus X1 Pro New Tested Working,New,308.66,93.6,US,2026-05-25,31
EBY-000127,Zenith Pro 14 - Used - Excellent - Fast Shipping,Used - Excellent,425.09,90.0,CA,2025-04-19,12
EBY-000128,Genuine Emberline Pro 14 Used - Good Tested Working,Used - Good,786.06,91.9,AU,2026-05-16,59
EBY-000129,Nimbus X1 Used - Fair w/ Charger Bundle,Used - Fair,345.42,98.7,IN,2025-02-08,47
EBY-000130,Solace Tab 10 Pro Used - Good L@@K!!,Used - Good,243.73,86.2,DE,2025-08-15,31
EBY-000131,Genuine Zenith Buds Air Used - Excellent Tested Working,Used - Excellent,102.04,95.3,IN,2025-03-13,54
EBY-000132,Zenith Studio 16 Used - Good w/ Charger Bundle,Used - Good,854.58,94.4,AU,2026-04-14,20
EBY-000133,** Solace TravelLite 12 ** For Parts/Not Working SALE,For Parts/Not Working,147.26,94.1,IN,2025-01-12,37
EBY-000134,** Solace Nova 5 ** New SALE,New,340.24,97.7,SG,2025-10-15,58
EBY-000135,Vortexa X1 Pro - Used - Good - Fast Shipping,Used - Good,122.93,87.4,CA,2026-02-08,0
EBY-000136,Vortexa EliteBook X - Used - Good - Fast Shipping,Used - Good,732.32,99.5,AU,2026-05-27,17
EBY-000137,Emberline EliteBook X (For Parts/Not Working) Free Ship,For Parts/Not Working,99.79,88.0,US,2026-06-19,23
EBY-000138,Genuine Orbital Buds Air Pro Open Box Tested Working,Open Box,90.43,96.5,CA,2025-01-04,32
EBY-000139,** Orbital Tab 10 ** Used - Excellent SALE,Used - Excellent,247.17,91.5,SG,2026-01-27,57
EBY-000140,Orbital X1 Pro New L@@K!!,New,1374.96,87.4,CA,2025-04-20,21
EBY-000141,Orbital Buds Sport Used - Good w/ Charger Bundle,Used - Good,19.4,97.9,DE,2026-03-14,20
EBY-000142,** Solace Tab 10 ** Used - Good SALE,Used - Good,248.86,98.6,UK,2025-03-28,22
EBY-000143,Orbital Watch S1 Used - Excellent w/ Charger Bundle,Used - Excellent,171.61,96.7,AU,2026-06-26,57
EBY-000144,NIMBUS PULSE BAND 2 USED - EXCELLENT W/ CHARGER BUNDLE,Used - Excellent,295.01,98.8,SG,2025-08-22,58
EBY-000145,Genuine  Solace  Buds  Air  New  Tested  Working,New,73.49,,US,2025-01-31,25
EBY-000146,Emberline Pro 14 - Open Box - Fast Shipping,Open Box,1512.27,99.6,SG,2026-01-25,30
EBY-000147,** ZENITH WATCH S1 SPORT ** USED - GOOD SALE,Used - Good,174.33,92.3,DE,2025-11-15,18
EBY-000148,Zenith Tab 10 Pro - Used - Fair - Fast Shipping,Used - Fair,226.56,93.3,CA,2025-12-03,5
EBY-000149,Emberline X1 Pro Open Box w/ Charger Bundle,Open Box,504.78,89.7,IN,2025-03-15,10
EBY-000150,** Solace Buds Sport ** Used - Excellent SALE,Used - Excellent,58.99,98.5,IN,2025-11-23,11
EBY-000151,Orbital Edge 7 New L@@K!!,New,1100.79,87.8,AU,2026-01-27,25
EBY-000152,** Emberline Tab 10 ** Used - Excellent SALE,Used - Excellent,252.38,96.8,AU,2025-09-13,15
EBY-000153,Genuine Emberline Nova 5 Lite Open Box Tested Working,Open Box,657.93,92.5,UK,2025-02-08,12
EBY-000154,Nimbus Watch S1 Sport Used - Excellent L@@K!!,Used - Excellent,381.08,87.7,CA,2025-01-15,1
EBY-000155,Vortexa Tab 10 Pro Used - Fair w/ Charger Bundle,Used - Fair,137.48,86.4,UK,2026-01-27,21
EBY-000156,Orbital Force 15 Gaming (For Parts/Not Working) Free Ship,For Parts/Not Working,137.85,93.4,IN,2026-02-23,24
EBY-000157,** Nimbus Air 13 ** Used - Good SALE,Used - Good,575.77,98.0,UK,2025-01-23,37
EBY-000158,Solace  Pro  14  -  Used  -  Good  -  Fast  Shipping,Used - Good,608.12,88.5,AU,2025-01-24,47
EBY-000159,** Vortexa X1 Pro ** Used - Fair SALE,Used - Fair,80.91,88.7,SG,2025-08-10,51
EBY-000160,Orbital Air 13 New w/ Charger Bundle,New,883.09,88.5,CA,2025-09-21,40
EBY-000161,Emberline  Buds  Air  Pro  (Used  -  Excellent)  Free  Ship,Used - Excellent,51.81,97.9,CA,2025-08-09,51
EBY-000162,** Solace Nova 5 Lite ** Open Box SALE,Open Box,230.03,94.4,US,2026-02-25,30
EBY-000163,Vortexa Pulse Band 2 Used - Excellent w/ Charger Bundle,Used - Excellent,268.88,99.2,US,2025-08-02,8
EBY-000164,Orbital Nova 5 - New - Fast Shipping,New,1048.68,95.6,SG,2026-06-28,5
EBY-000165,Vortexa Edge 7 (Open Box) Free Ship,Open Box,309.21,89.9,SG,2026-05-08,26
EBY-000166,Solace Flip 3 (Open Box) Free Ship,Open Box,752.56,89.7,DE,2025-09-18,18
EBY-000167,Genuine Zenith Force 15 Gaming For Parts/Not Working Tested Working,For Parts/Not Working,126.95,86.9,US,2025-06-24,47
EBY-000168,Zenith EliteBook X Used - Good w/ Charger Bundle,Used - Good,295.97,95.8,IN,2025-04-29,0
EBY-000169,Solace Tab 10 Pro For Parts/Not Working w/ Charger Bundle,For Parts/Not Working,48.21,93.9,SG,2026-06-05,28
EBY-000170,Solace Flip 3 - Used - Excellent - Fast Shipping,Used - Excellent,563.82,,SG,2026-06-07,56
EBY-000171,Solace Edge 7 Open Box L@@K!!,Open Box,483.27,88.9,UK,2025-12-29,47
EBY-000172,Zenith Tab 10 Used - Excellent w/ Charger Bundle,Used - Excellent,612.93,95.0,UK,2026-04-10,15
EBY-000173,Zenith Nova 5 Used - Good L@@K!!,Used - Good,263.48,95.7,CA,2026-06-25,43
EBY-000174,Vortexa Nova 5 Used - Fair L@@K!!,Used - Fair,349.88,91.4,AU,2026-03-05,14
EBY-000175,Zenith X1 - Used - Fair - Fast Shipping,Used - Fair,326.46,94.4,CA,2026-01-21,29
EBY-000176,Vortexa Nova 5 Used - Excellent L@@K!!,Used - Excellent,823.9,96.4,UK,2025-07-04,23
EBY-000177,Solace Canvas 11 Used - Good w/ Charger Bundle,Used - Good,308.73,91.8,IN,2025-12-17,15
EBY-000178,Solace Tab 10 Pro For Parts/Not Working L@@K!!,For Parts/Not Working,64.64,94.1,DE,2025-09-23,25
EBY-000179,Solace Buds Sport - Open Box - Fast Shipping,Open Box,72.9,99.1,DE,2026-05-09,30
EBY-000180,GENUINE EMBERLINE FLIP 3 NEW TESTED WORKING,New,1321.37,87.2,IN,2025-04-21,10
EBY-000181,** Vortexa Edge 7 ** Used - Fair SALE,Used - Fair,84.59,94.7,AU,2025-02-04,28
EBY-000182,Genuine Orbital Edge 7 Used - Fair Tested Working,Used - Fair,418.64,96.9,DE,2025-03-10,22
EBY-000183,** ORBITAL NOVA 5 LITE ** USED - EXCELLENT SALE,Used - Excellent,452.73,87.7,IN,2025-05-19,18
EBY-000184,Zenith Force 15 Gaming - Used - Excellent - Fast Shipping,Used - Excellent,488.3,95.5,UK,2026-01-21,22
EBY-000185,Genuine Nimbus Pro 14 Used - Excellent Tested Working,Used - Excellent,1013.79,88.9,AU,2026-06-17,48
EBY-000186,** Orbital Pulse Band 2 ** Used - Good SALE,Used - Good,229.19,95.9,CA,2025-03-19,17
EBY-000187,Vortexa TravelLite 12 Used - Excellent L@@K!!,Used - Excellent,671.05,89.0,CA,2026-06-18,57
EBY-000188,Emberline Tab 10 Pro Used - Excellent L@@K!!,Used - Excellent,509.89,95.7,UK,2025-01-06,18
EBY-000189,** Emberline Buds Sport ** Used - Excellent SALE,Used - Excellent,182.38,86.1,SG,2025-09-09,1
EBY-000190,Solace Buds Air Pro Used - Fair L@@K!!,Used - Fair,38.61,89.5,UK,2025-10-31,39
EBY-000191,Vortexa X1 Pro Open Box L@@K!!,Open Box,221.9,88.5,CA,2025-09-30,2
EBY-000192,** ZENITH FORCE 15 GAMING ** FOR PARTS/NOT WORKING SALE,For Parts/Not Working,47.31,91.4,CA,2025-05-02,50
EBY-000193,Vortexa Air 13 (Used - Fair) Free Ship,Used - Fair,350.16,88.4,IN,2026-02-28,38
EBY-000194,SOLACE PRO 14 USED - EXCELLENT L@@K!!,Used - Excellent,733.35,88.9,CA,2026-02-02,16
EBY-000195,Vortexa Edge 7 Open Box L@@K!!,Open Box,300.86,,US,2025-07-13,30
EBY-000196,Vortexa Nova 5 For Parts/Not Working L@@K!!,For Parts/Not Working,197.95,98.5,US,2025-06-23,24
EBY-000197,Emberline Tab 10 Pro - Used - Good - Fast Shipping,Used - Good,383.41,95.7,UK,2025-09-30,21
EBY-000198,Genuine Vortexa Buds Sport Used - Excellent Tested Working,Used - Excellent,65.64,,UK,2026-01-19,56
EBY-000199,Solace X1 - Used - Excellent - Fast Shipping,Used - Excellent,491.94,86.1,US,2025-08-18,54
EBY-000200,Genuine Emberline Slate 8 Open Box Tested Working,Open Box,359.37,85.9,IN,2025-05-14,21
EBY-000201,Genuine Orbital Air 13 Used - Good Tested Working,Used - Good,469.26,,AU,2025-06-06,22
EBY-000202,Genuine  Nimbus  Buds  Air  Pro  Used  -  Excellent  Tested  Working,Used - Excellent,142.36,88.3,UK,2025-08-25,30
EBY-000203,** Vortexa Nova 5 Lite ** Used - Fair SALE,Used - Fair,374.21,94.5,UK,2026-01-08,55
EBY-000204,Solace Flip 3 - Used - Excellent - Fast Shipping,Used - Excellent,530.94,95.7,SG,2025-06-18,48
EBY-000205,Nimbus Buds Sport For Parts/Not Working L@@K!!,For Parts/Not Working,15.28,90.0,UK,2025-11-25,1
EBY-000206,Zenith Watch S1 Used - Excellent w/ Charger Bundle,Used - Excellent,196.39,89.2,IN,2025-09-21,38
EBY-000207,Orbital Studio 16 Used - Excellent L@@K!!,Used - Excellent,987.77,91.1,SG,2025-07-06,38
EBY-000208,Nimbus Flip 3 (Open Box) Free Ship,Open Box,239.19,94.5,DE,2026-03-11,40
EBY-000209,Solace X1 Used - Excellent w/ Charger Bundle,Used - Excellent,474.6,99.9,US,2026-03-30,27
EBY-000210,VORTEXA FLIP 3 USED - GOOD L@@K!!,Used - Good,575.14,92.9,AU,2025-01-06,45
EBY-000211,Solace Buds Sport Open Box w/ Charger Bundle,Open Box,65.22,96.9,UK,2025-11-21,27
EBY-000212,Zenith Buds Sport - Used - Good - Fast Shipping,Used - Good,35.65,99.4,IN,2025-10-25,25
EBY-000213,Solace EliteBook X - Open Box - Fast Shipping,Open Box,821.21,94.0,SG,2025-03-17,17
EBY-000214,** Solace Edge 7 ** Used - Good SALE,Used - Good,266.98,96.7,CA,2025-08-30,12
EBY-000215,Nimbus X1 Pro Used - Fair L@@K!!,Used - Fair,86.4,100.0,DE,2025-07-10,3
EBY-000216,Vortexa X1 (Used - Good) Free Ship,Used - Good,300.92,97.7,US,2025-11-13,48
EBY-000217,** Nimbus Edge 7 ** Open Box SALE,Open Box,260.88,92.0,US,2025-10-25,25
EBY-000218,Genuine Zenith Buds Air Pro Used - Excellent Tested Working,Used - Excellent,220.77,90.1,AU,2026-07-01,55
EBY-000219,Genuine Emberline Canvas 11 Used - Excellent Tested Working,Used - Excellent,206.87,88.7,CA,2025-12-26,1
EBY-000220,Orbital X1 Used - Good w/ Charger Bundle,Used - Good,443.85,90.8,AU,2025-09-22,6
EBY-000221,Emberline Nova 5 Lite - New - Fast Shipping,New,879.38,91.6,SG,2025-08-24,50
EBY-000222,Orbital Edge 7 (Used - Excellent) Free Ship,Used - Excellent,650.87,86.1,AU,2025-08-15,56
EBY-000223,Genuine Emberline Force 15 Gaming Open Box Tested Working,Open Box,612.58,97.7,SG,2026-04-30,41
EBY-000224,Nimbus TravelLite 12 (Used - Excellent) Free Ship,Used - Excellent,1183.58,85.4,IN,2025-03-06,3
EBY-000225,Zenith Buds Air Pro - Used - Excellent - Fast Shipping,Used - Excellent,192.0,99.4,DE,2026-04-12,42
EBY-000226,Nimbus Tab 10 Pro New w/ Charger Bundle,New,382.28,85.5,SG,2025-09-15,9
EBY-000227,Vortexa  Pro  14  New  w/  Charger  Bundle,New,727.9,89.4,AU,2025-05-25,37
EBY-000228,Vortexa X1 Pro Used - Good w/ Charger Bundle,Used - Good,138.39,87.0,SG,2026-04-17,11
EBY-000229,Genuine Solace X1 Used - Fair Tested Working,Used - Fair,185.59,95.8,SG,2025-01-11,6
EBY-000230,Emberline Canvas 11 - For Parts/Not Working - Fast Shipping,For Parts/Not Working,48.9,96.3,DE,2026-02-25,39
EBY-000231,Emberline Edge 7 Used - Fair w/ Charger Bundle,Used - Fair,152.19,93.9,US,2026-05-12,50
EBY-000232,NIMBUS BUDS AIR PRO USED - GOOD W/ CHARGER BUNDLE,Used - Good,124.07,97.3,US,2025-02-21,15
EBY-000233,Genuine Vortexa Buds Sport Used - Excellent Tested Working,Used - Excellent,58.85,85.9,DE,2025-05-06,48
EBY-000234,Genuine Zenith Slate 8 Used - Good Tested Working,Used - Good,320.43,99.2,US,2026-03-13,6
EBY-000235,Emberline X1 Open Box w/ Charger Bundle,Open Box,537.1,89.2,AU,2025-04-26,57
