"sku","brand","product_name","category","launch_year","msrp","component","component_code","supplier","component_cost","claim_id","failed_component","claim_date","days_in_service","repair_cost","resolution","failure_symptom","master_id"
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Keyboard Assembly","KB","Wistron",15.79,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",18
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"RAM Module","RAM","Quanta Computer",55.61,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",19
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"SSD Storage","SSD","Wistron",69.98,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",20
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Battery","BAT","Luxshare ICT",24.39,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",21
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Display Panel","DSP","Quanta Computer",156.86,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",22
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Motherboard","MB","Wistron",120.82,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",23
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Webcam Module","CAM","Wistron",5.10,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",24
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Cooling Fan","FAN","Luxshare ICT",11.56,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",25
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Keyboard Assembly","KB","Foxlink Corp",30.93,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",26
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"RAM Module","RAM","Pegatron",50.21,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",27
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"SSD Storage","SSD","Pegatron",104.94,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",28
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Battery","BAT","Luxshare ICT",66.08,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",29
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Display Panel","DSP","Luxshare ICT",99.33,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",30
"LAP-EMB-0020","Emberline","Emberline Force 15 Gaming","Laptop",2025,996.25,"Motherboard","MB","Delta Electronics",112.57,"WC-00005","Battery","2024-03-18",212,124.19,"Repaired","Overheating",31
"WCH-NIM-0011","Nimbus","Nimbus Pulse Band 2","Smartwatch",2024,578.63,"Strap/Band","STR","Delta Electronics",5.69,"WC-00006","Display","2024-11-14",248,91.83,"Replaced","Random shutdowns",32
"WCH-NIM-0011","Nimbus","Nimbus Pulse Band 2","Smartwatch",2024,578.63,"Sensor Module","SEN","Delta Electronics",10.21,"WC-00006","Display","2024-11-14",248,91.83,"Replaced","Random shutdowns",33
"WCH-NIM-0011","Nimbus","Nimbus Pulse Band 2","Smartwatch",2024,578.63,"Battery","BAT","Pegatron",9.51,"WC-00006","Display","2024-11-14",248,91.83,"Replaced","Random shutdowns",34
"WCH-NIM-0011","Nimbus","Nimbus Pulse Band 2","Smartwatch",2024,578.63,"Display","DSP","Pegatron",48.85,"WC-00006","Display","2024-11-14",248,91.83,"Replaced","Random shutdowns",35
"WCH-NIM-0011","Nimbus","Nimbus Pulse Band 2","Smartwatch",2024,578.63,"Logic Board","LB","Delta Electronics",59.84,"WC-00006","Display","2024-11-14",248,91.83,"Replaced","Random shutdowns",36
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Strap/Band","STR","Quanta Computer",12.29,"WC-00007","Display","2024-05-27",579,111.66,"Repaired","Malfunctioning",37
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Sensor Module","SEN","Foxlink Corp",16.73,"WC-00007","Display","2024-05-27",579,111.66,"Repaired","Malfunctioning",38
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Battery","BAT","Wistron",14.21,"WC-00007","Display","2024-05-27",579,111.66,"Repaired","Malfunctioning",39
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Display","DSP","Quanta Computer",38.72,"WC-00007","Display","2024-05-27",579,111.66,"Repaired","Malfunctioning",40
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Logic Board","LB","Foxlink Corp",35.47,"WC-00007","Display","2024-05-27",579,111.66,"Repaired","Malfunctioning",41
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"Speaker Unit","SPK","Luxshare ICT",4.41,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",42
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"Charging Port","CHG","Wistron",7.57,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",43
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"Camera Module","CAM","Delta Electronics",54.83,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",44
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"Battery","BAT","Luxshare ICT",18.35,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",45
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"OLED Display","OLD","Delta Electronics",103.71,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",46
"PHN-NIM-0024","Nimbus","Nimbus Nova 5 Lite","Smartphone",2021,1094.37,"Logic Board","LB","Wistron",148.98,"WC-00008","Logic Board","2026-05-07",212,197.10,"Pending","Malfunctioning",47
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Webcam Module","CAM","Luxshare ICT",7.96,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",48
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Cooling Fan","FAN","Foxlink Corp",6.95,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",49
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Keyboard Assembly","KB","Delta Electronics",23.83,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",50
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"RAM Module","RAM","Wistron",45.47,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",51
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"SSD Storage","SSD","Foxlink Corp",35.79,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",52
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Battery","BAT","Quanta Computer",65.08,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",53
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Display Panel","DSP","Quanta Computer",172.46,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",54
"LAP-SOL-0015","Solace","Solace Force 15 Gaming","Laptop",2021,1789.36,"Motherboard","MB","Delta Electronics",176.49,"WC-00009","SSD Storage","2024-04-05",659,115.71,"Repaired","Not charging",55
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Webcam Module","CAM","Foxlink Corp",9.23,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",56
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Cooling Fan","FAN","Luxshare ICT",19.94,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",57
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Keyboard Assembly","KB","Foxlink Corp",10.78,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",58
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"RAM Module","RAM","Delta Electronics",63.96,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",59
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"SSD Storage","SSD","Quanta Computer",96.45,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",60
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Battery","BAT","Foxlink Corp",45.57,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",61
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Display Panel","DSP","Luxshare ICT",90.78,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",62
"LAP-SOL-0017","Solace","Solace EliteBook X","Laptop",2025,940.45,"Motherboard","MB","Luxshare ICT",80.84,"WC-00010","Motherboard","2024-02-09",101,108.98,"Replaced","Cracked/damaged",63
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"Speaker Unit","SPK","Wistron",7.16,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",64
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"Charging Port","CHG","Foxlink Corp",5.09,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",65
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"Camera Module","CAM","Delta Electronics",15.06,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",66
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"Battery","BAT","Foxlink Corp",12.13,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",67
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"OLED Display","OLD","Quanta Computer",117.11,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",68
"PHN-NIM-0008","Nimbus","Nimbus Flip 3","Smartphone",2024,435.13,"Logic Board","LB","Luxshare ICT",89.60,"WC-00011","Logic Board","2025-12-26",726,190.97,"Repaired","Random shutdowns",69
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Webcam Module","CAM","Foxlink Corp",4.91,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",70
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Cooling Fan","FAN","Delta Electronics",13.84,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",71
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Keyboard Assembly","KB","Pegatron",19.63,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",72
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"RAM Module","RAM","Pegatron",81.38,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",73
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"SSD Storage","SSD","Wistron",74.50,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",74
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Battery","BAT","Pegatron",31.64,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",75
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Display Panel","DSP","Foxlink Corp",154.85,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",76
"LAP-VOR-0035","Vortexa","Vortexa Pro 14","Laptop",2025,972.50,"Motherboard","MB","Pegatron",146.49,"WC-00012","Display Panel","2024-07-04",217,332.59,"Repaired","Cracked/damaged",77
"WCH-ZEN-0018","Zenith","Zenith Pulse Band 2","Smartwatch",2025,472.20,"Strap/Band","STR","Pegatron",8.32,"WC-00013","Battery","2024-05-03",892,43.75,"Refunded","Battery drains fast",78
"WCH-ZEN-0018","Zenith","Zenith Pulse Band 2","Smartwatch",2025,472.20,"Sensor Module","SEN","Pegatron",5.67,"WC-00013","Battery","2024-05-03",892,43.75,"Refunded","Battery drains fast",79
"WCH-ZEN-0018","Zenith","Zenith Pulse Band 2","Smartwatch",2025,472.20,"Battery","BAT","Foxlink Corp",12.89,"WC-00013","Battery","2024-05-03",892,43.75,"Refunded","Battery drains fast",80
"WCH-ZEN-0018","Zenith","Zenith Pulse Band 2","Smartwatch",2025,472.20,"Display","DSP","Pegatron",27.07,"WC-00013","Battery","2024-05-03",892,43.75,"Refunded","Battery drains fast",81
"WCH-ZEN-0018","Zenith","Zenith Pulse Band 2","Smartwatch",2025,472.20,"Logic Board","LB","Foxlink Corp",35.79,"WC-00013","Battery","2024-05-03",892,43.75,"Refunded","Battery drains fast",82
"TAB-NIM-0007","Nimbus","Nimbus Canvas 11","Tablet",2021,473.57,"Charging Port","CHG","Delta Electronics",11.77,"WC-00014","Battery","2024-08-26",509,79.52,"Repaired","Overheating",83
"TAB-NIM-0007","Nimbus","Nimbus Canvas 11","Tablet",2021,473.57,"Speaker Unit","SPK","Foxlink Corp",2.43,"WC-00014","Battery","2024-08-26",509,79.52,"Repaired","Overheating",84
"TAB-NIM-0007","Nimbus","Nimbus Canvas 11","Tablet",2021,473.57,"Battery","BAT","Quanta Computer",16.10,"WC-00014","Battery","2024-08-26",509,79.52,"Repaired","Overheating",85
"TAB-NIM-0007","Nimbus","Nimbus Canvas 11","Tablet",2021,473.57,"Touch Display","TDS","Pegatron",39.80,"WC-00014","Battery","2024-08-26",509,79.52,"Repaired","Overheating",86
"TAB-NIM-0007","Nimbus","Nimbus Canvas 11","Tablet",2021,473.57,"Logic Board","LB","Luxshare ICT",104.21,"WC-00014","Battery","2024-08-26",509,79.52,"Repaired","Overheating",87
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Strap/Band","STR","Luxshare ICT",10.02,"WC-00015","Logic Board","2024-07-03",929,110.86,"Replaced","Battery drains fast",88
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Sensor Module","SEN","Foxlink Corp",10.75,"WC-00015","Logic Board","2024-07-03",929,110.86,"Replaced","Battery drains fast",89
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Battery","BAT","Luxshare ICT",11.23,"WC-00015","Logic Board","2024-07-03",929,110.86,"Replaced","Battery drains fast",90
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Display","DSP","Foxlink Corp",44.59,"WC-00015","Logic Board","2024-07-03",929,110.86,"Replaced","Battery drains fast",91
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Logic Board","LB","Quanta Computer",68.79,"WC-00015","Logic Board","2024-07-03",929,110.86,"Replaced","Battery drains fast",92
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Webcam Module","CAM","Quanta Computer",3.27,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",93
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Cooling Fan","FAN","Quanta Computer",16.06,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",94
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Keyboard Assembly","KB","Wistron",15.79,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",95
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"RAM Module","RAM","Quanta Computer",55.61,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",96
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"SSD Storage","SSD","Wistron",69.98,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",97
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Battery","BAT","Luxshare ICT",24.39,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",98
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Display Panel","DSP","Quanta Computer",156.86,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",99
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Motherboard","MB","Wistron",120.82,"WC-00016","Battery","2025-06-26",652,61.08,"Pending","Won't power on",100
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Webcam Module","CAM","Delta Electronics",4.27,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",101
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Cooling Fan","FAN","Wistron",5.56,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",102
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Keyboard Assembly","KB","Delta Electronics",28.60,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",103
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"RAM Module","RAM","Luxshare ICT",62.81,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",104
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"SSD Storage","SSD","Foxlink Corp",114.84,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",105
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Battery","BAT","Luxshare ICT",58.75,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",106
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Display Panel","DSP","Wistron",108.38,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",107
"LAP-ZEN-0013","Zenith","Zenith EliteBook X","Laptop",2021,735.65,"Motherboard","MB","Delta Electronics",119.56,"WC-00017","Motherboard","2025-04-07",464,307.07,"Refunded","Malfunctioning",108
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Webcam Module","CAM","Pegatron",5.48,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",109
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Cooling Fan","FAN","Foxlink Corp",6.93,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",110
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Keyboard Assembly","KB","Foxlink Corp",16.55,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",111
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"RAM Module","RAM","Foxlink Corp",65.20,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",112
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"SSD Storage","SSD","Luxshare ICT",25.45,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",113
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Battery","BAT","Quanta Computer",51.34,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",114
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Display Panel","DSP","Delta Electronics",111.39,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",115
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Motherboard","MB","Luxshare ICT",76.33,"WC-00018","Motherboard","2025-06-07",980,111.17,"Repaired","Battery drains fast",116
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Webcam Module","CAM","Pegatron",5.48,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",117
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Cooling Fan","FAN","Foxlink Corp",6.93,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",118
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Keyboard Assembly","KB","Foxlink Corp",16.55,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",119
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"RAM Module","RAM","Foxlink Corp",65.20,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",120
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"SSD Storage","SSD","Luxshare ICT",25.45,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",121
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Battery","BAT","Quanta Computer",51.34,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",122
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Display Panel","DSP","Delta Electronics",111.39,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",123
"LAP-NIM-0032","Nimbus","Nimbus TravelLite 12","Laptop",2021,1708.30,"Motherboard","MB","Luxshare ICT",76.33,"WC-00019","Battery","2024-06-28",719,114.75,"Replaced","Won't power on",124
"EAR-ORB-0016","Orbital","Orbital Buds Air","Wireless Earbuds",2022,126.95,"Bluetooth Chip","BTC","Wistron",5.32,"WC-00020","Battery","2026-05-14",832,43.88,"Repaired","Malfunctioning",125
"EAR-ORB-0016","Orbital","Orbital Buds Air","Wireless Earbuds",2022,126.95,"Charging Case","CSE","Foxlink Corp",11.20,"WC-00020","Battery","2026-05-14",832,43.88,"Repaired","Malfunctioning",126
"EAR-ORB-0016","Orbital","Orbital Buds Air","Wireless Earbuds",2022,126.95,"Speaker Driver","SPD","Delta Electronics",6.10,"WC-00020","Battery","2026-05-14",832,43.88,"Repaired","Malfunctioning",127
"EAR-ORB-0016","Orbital","Orbital Buds Air","Wireless Earbuds",2022,126.95,"Battery","BAT","Pegatron",7.91,"WC-00020","Battery","2026-05-14",832,43.88,"Repaired","Malfunctioning",128
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Strap/Band","STR","Luxshare ICT",10.02,"WC-00021","Sensor Module","2026-01-15",693,56.78,"Repaired","Cracked/damaged",129
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Sensor Module","SEN","Foxlink Corp",10.75,"WC-00021","Sensor Module","2026-01-15",693,56.78,"Repaired","Cracked/damaged",130
"WCH-NIM-0001","Nimbus","Nimbus Watch S1","Smartwatch",2024,457.23,"Battery","BAT","Luxshare ICT",11.23,"WC-00021","Sensor Module","2026-01-15",693,56.78,"Repaired","Cracked/damaged",131
