SKU,Component,Component_Code,Supplier,Component_Cost
LAP-EMB-0003,Cooling Fan,FAN,Quanta Computer,5.05
LAP-EMB-0003,Webcam Module,CAM,Quanta Computer,9.13
TAB-SOL-0002,Logic Board,LB,Delta Electronics,89.25
TAB-SOL-0002,Touch Display,TDS,Quanta Computer,70.38
TAB-SOL-0002,Battery,BAT,Wistron,20.85
TAB-SOL-0002,Speaker Unit,SPK,Wistron,2.01
TAB-SOL-0002,Charging Port,CHG,Foxlink Corp,10.55
TAB-ORB-0003,Logic Board,LB,Delta Electronics,172.18
TAB-ORB-0003,Touch Display,TDS,Luxshare ICT,95.61
TAB-ORB-0003,Battery,BAT,Wistron,20.12
TAB-ORB-0003,Speaker Unit,SPK,Quanta Computer,2.52
TAB-ORB-0003,Charging Port,CHG,Pegatron,11.99
PHN-VOR-0003,Logic Board,LB,Quanta Computer,83.75
PHN-VOR-0003,OLED Display,OLD,Foxlink Corp,123.12
PHN-VOR-0003,Battery,BAT,Foxlink Corp,17.02
PHN-VOR-0003,Camera Module,CAM,Wistron,52.56
PHN-VOR-0003,Charging Port,CHG,Delta Electronics,8.71
PHN-VOR-0003,Speaker Unit,SPK,Wistron,3.99
PHN-ORB-0004,Logic Board,LB,Wistron,148.52
PHN-ORB-0004,OLED Display,OLD,Wistron,60.88
PHN-ORB-0004,Battery,BAT,Quanta Computer,29.63
PHN-ORB-0004,Camera Module,CAM,Luxshare ICT,54.79
PHN-ORB-0004,Charging Port,CHG,Pegatron,6.6
PHN-ORB-0004,Speaker Unit,SPK,Luxshare ICT,6.39
LAP-NIM-0004,Motherboard,MB,Luxshare ICT,72.89
LAP-NIM-0004,Display Panel,DSP,Pegatron,103.42
LAP-NIM-0004,Battery,BAT,Luxshare ICT,57.63
LAP-NIM-0004,SSD Storage,SSD,Quanta Computer,107.6
LAP-NIM-0004,RAM Module,RAM,Pegatron,18.67
LAP-NIM-0004,Keyboard Assembly,KB,Quanta Computer,13.82
LAP-NIM-0004,Cooling Fan,FAN,Wistron,11.22
LAP-NIM-0004,Webcam Module,CAM,Luxshare ICT,5.68
PHN-EMB-0005,Logic Board,LB,Luxshare ICT,202.97
PHN-EMB-0005,OLED Display,OLD,Luxshare ICT,68.62
PHN-EMB-0005,Battery,BAT,Quanta Computer,15.97
PHN-EMB-0005,Camera Module,CAM,Quanta Computer,40.08
PHN-EMB-0005,Charging Port,CHG,Luxshare ICT,4.08
PHN-EMB-0005,Speaker Unit,SPK,Delta Electronics,3.29
TAB-ZEN-0004,Logic Board,LB,Quanta Computer,115.08
TAB-ZEN-0004,Touch Display,TDS,Quanta Computer,81.78
TAB-ZEN-0004,Battery,BAT,Quanta Computer,37.38
TAB-ZEN-0004,Speaker Unit,SPK,Pegatron,5.42
TAB-ZEN-0004,Charging Port,CHG,Foxlink Corp,4.73
TAB-ZEN-0005,Logic Board,LB,Pegatron,72.71
TAB-ZEN-0005,Touch Display,TDS,Delta Electronics,42.74
TAB-ZEN-0005,Battery,BAT,Pegatron,22.31
TAB-ZEN-0005,Speaker Unit,SPK,Foxlink Corp,3.62
TAB-ZEN-0005,Charging Port,CHG,Quanta Computer,9.75
LAP-ORB-0005,Motherboard,MB,Luxshare ICT,121.25
LAP-ORB-0005,Display Panel,DSP,Quanta Computer,118.14
LAP-ORB-0005,Battery,BAT,Foxlink Corp,33.51
LAP-ORB-0005,SSD Storage,SSD,Pegatron,72.32
LAP-ORB-0005,RAM Module,RAM,Delta Electronics,87.58
LAP-ORB-0005,Keyboard Assembly,KB,Pegatron,30.6
LAP-ORB-0005,Cooling Fan,FAN,Delta Electronics,14.44
LAP-ORB-0005,Webcam Module,CAM,Delta Electronics,3.83
PHN-SOL-0006,Logic Board,LB,Luxshare ICT,139.22
PHN-SOL-0006,OLED Display,OLD,Wistron,89.04
PHN-SOL-0006,Battery,BAT,Foxlink Corp,31.22
PHN-SOL-0006,Camera Module,CAM,Quanta Computer,20.73
PHN-SOL-0006,Charging Port,CHG,Quanta Computer,9.39
PHN-SOL-0006,Speaker Unit,SPK,Quanta Computer,9.75
PHN-VOR-0007,Logic Board,LB,Quanta Computer,70.03
PHN-VOR-0007,OLED Display,OLD,Pegatron,142.33
PHN-VOR-0007,Battery,BAT,Quanta Computer,31.39
PHN-VOR-0007,Camera Module,CAM,Foxlink Corp,26.18
PHN-VOR-0007,Charging Port,CHG,Delta Electronics,5.01
PHN-VOR-0007,Speaker Unit,SPK,Luxshare ICT,6.18
PHN-NIM-0008,Logic Board,LB,Luxshare ICT,89.6
PHN-NIM-0008,OLED Display,OLD,Quanta Computer,117.11
PHN-NIM-0008,Battery,BAT,Foxlink Corp,12.13
PHN-NIM-0008,Camera Module,CAM,Delta Electronics,15.06
PHN-NIM-0008,Charging Port,CHG,Foxlink Corp,5.09
PHN-NIM-0008,Speaker Unit,SPK,Wistron,7.16
LAP-NIM-0006,Motherboard,MB,Luxshare ICT,213.99
LAP-NIM-0006,Display Panel,DSP,Luxshare ICT,82.73
LAP-NIM-0006,Battery,BAT,Foxlink Corp,41.87
LAP-NIM-0006,SSD Storage,SSD,Wistron,34.45
LAP-NIM-0006,RAM Module,RAM,Pegatron,54.33
LAP-NIM-0006,Keyboard Assembly,KB,Wistron,15.75
LAP-NIM-0006,Cooling Fan,FAN,Pegatron,8.35
LAP-NIM-0006,Webcam Module,CAM,Pegatron,3.01
PHN-EMB-0009,Logic Board,LB,Quanta Computer,124.27
PHN-EMB-0009,OLED Display,OLD,Wistron,70.65
PHN-EMB-0009,Battery,BAT,Delta Electronics,26.11
PHN-EMB-0009,Camera Module,CAM,Delta Electronics,36.39
PHN-EMB-0009,Charging Port,CHG,Foxlink Corp,7.92
PHN-EMB-0009,Speaker Unit,SPK,Luxshare ICT,9.68
LAP-SOL-0007,Motherboard,MB,Foxlink Corp,163.94
LAP-SOL-0007,Display Panel,DSP,Quanta Computer,52.83
LAP-SOL-0007,Battery,BAT,Luxshare ICT,64.24
LAP-SOL-0007,SSD Storage,SSD,Wistron,64.9
LAP-SOL-0007,RAM Module,RAM,Quanta Computer,32.09
LAP-SOL-0007,Keyboard Assembly,KB,Delta Electronics,37.75
LAP-SOL-0007,Cooling Fan,FAN,Luxshare ICT,12.39
LAP-SOL-0007,Webcam Module,CAM,Quanta Computer,6.04
TAB-EMB-0006,Logic Board,LB,Quanta Computer,97.1
TAB-EMB-0006,Touch Display,TDS,Wistron,51.84
TAB-EMB-0006,Battery,BAT,Pegatron,32.7
TAB-EMB-0006,Speaker Unit,SPK,Quanta Computer,2.54
TAB-EMB-0006,Charging Port,CHG,Wistron,11.73
PHN-SOL-0010,Logic Board,LB,Delta Electronics,207.85
PHN-SOL-0010,OLED Display,OLD,Delta Electronics,65.39
PHN-SOL-0010,Battery,BAT,Wistron,16.63
PHN-SOL-0010,Camera Module,CAM,Pegatron,19.91
PHN-SOL-0010,Charging Port,CHG,Delta Electronics,7.46
PHN-SOL-0010,Speaker Unit,SPK,Quanta Computer,9.17
TAB-NIM-0007,Logic Board,LB,Luxshare ICT,104.21
TAB-NIM-0007,Touch Display,TDS,Pegatron,39.8
TAB-NIM-0007,Battery,BAT,Quanta Computer,16.1
TAB-NIM-0007,Speaker Unit,SPK,Foxlink Corp,2.43
TAB-NIM-0007,Charging Port,CHG,Delta Electronics,11.77
WCH-SOL-0002,Logic Board,LB,Luxshare ICT,40.77
WCH-SOL-0002,Display,DSP,Quanta Computer,17.1
WCH-SOL-0002,Battery,BAT,Luxshare ICT,10.85
WCH-SOL-0002,Sensor Module,SEN,Luxshare ICT,22.67
WCH-SOL-0002,Strap/Band,STR,Foxlink Corp,3.47
TAB-VOR-0008,Logic Board,LB,Wistron,171.11
TAB-VOR-0008,Touch Display,TDS,Luxshare ICT,51.21
TAB-VOR-0008,Battery,BAT,Luxshare ICT,38.2
TAB-VOR-0008,Speaker Unit,SPK,Wistron,5.74
TAB-VOR-0008,Charging Port,CHG,Quanta Computer,8.98
PHN-ORB-0011,Logic Board,LB,Wistron,221.04
PHN-ORB-0011,OLED Display,OLD,Foxlink Corp,88.67
PHN-ORB-0011,Battery,BAT,Wistron,10.07
PHN-ORB-0011,Camera Module,CAM,Quanta Computer,18.63
PHN-ORB-0011,Charging Port,CHG,Foxlink Corp,11.6
PHN-ORB-0011,Speaker Unit,SPK,Delta Electronics,6.49
LAP-EMB-0008,Motherboard,MB,Wistron,120.82
LAP-EMB-0008,Display Panel,DSP,Quanta Computer,156.86
LAP-EMB-0008,Battery,BAT,Luxshare ICT,24.39
LAP-EMB-0008,SSD Storage,SSD,Wistron,69.98
LAP-EMB-0008,RAM Module,RAM,Quanta Computer,55.61
LAP-EMB-0008,Keyboard Assembly,KB,Wistron,15.79
LAP-EMB-0008,Cooling Fan,FAN,Quanta Computer,16.06
LAP-EMB-0008,Webcam Module,CAM,Quanta Computer,3.27
TAB-ZEN-0009,Logic Board,LB,Luxshare ICT,82.24
TAB-ZEN-0009,Touch Display,TDS,Foxlink Corp,100.17
TAB-ZEN-0009,Battery,BAT,Quanta Computer,22.52
TAB-ZEN-0009,Speaker Unit,SPK,Foxlink Corp,2.5
TAB-ZEN-0009,Charging Port,CHG,Luxshare ICT,5.31
LAP-VOR-0009,Motherboard,MB,Pegatron,70.06
LAP-VOR-0009,Display Panel,DSP,Wistron,94.08
LAP-VOR-0009,Battery,BAT,Pegatron,36.75
LAP-VOR-0009,SSD Storage,SSD,Luxshare ICT,29.14
LAP-VOR-0009,RAM Module,RAM,Wistron,68.75
LAP-VOR-0009,Keyboard Assembly,KB,Wistron,37.73
LAP-VOR-0009,Cooling Fan,FAN,Pegatron,5.06
LAP-VOR-0009,Webcam Module,CAM,Luxshare ICT,11.25
PHN-ZEN-0012,Logic Board,LB,Foxlink Corp,240.37
PHN-ZEN-0012,OLED Display,OLD,Delta Electronics,42.67
PHN-ZEN-0012,Battery,BAT,Luxshare ICT,12.68
PHN-ZEN-0012,Camera Module,CAM,Quanta Computer,58.05
PHN-ZEN-0012,Charging Port,CHG,Quanta Computer,10.11
PHN-ZEN-0012,Speaker Unit,SPK,Delta Electronics,8.52
LAP-VOR-0010,Motherboard,MB,Delta Electronics,208.5
LAP-VOR-0010,Display Panel,DSP,Luxshare ICT,51.13
LAP-VOR-0010,Battery,BAT,Luxshare ICT,35.17
LAP-VOR-0010,SSD Storage,SSD,Pegatron,98.42
LAP-VOR-0010,RAM Module,RAM,Wistron,32.71
LAP-VOR-0010,Keyboard Assembly,KB,Pegatron,23.82
LAP-VOR-0010,Cooling Fan,FAN,Delta Electronics,6.19
LAP-VOR-0010,Webcam Module,CAM,Delta Electronics,6.53
LAP-SOL-0011,Motherboard,MB,Foxlink Corp,99.57
LAP-SOL-0011,Display Panel,DSP,Quanta Computer,134.44
LAP-SOL-0011,Battery,BAT,Wistron,47.63
LAP-SOL-0011,SSD Storage,SSD,Quanta Computer,40.27
LAP-SOL-0011,RAM Module,RAM,Foxlink Corp,81.26
LAP-SOL-0011,Keyboard Assembly,KB,Foxlink Corp,17.95
LAP-SOL-0011,Cooling Fan,FAN,Quanta Computer,8.13
LAP-SOL-0011,Webcam Module,CAM,Luxshare ICT,7.49
TAB-ZEN-0010,Logic Board,LB,Delta Electronics,176.38
TAB-ZEN-0010,Touch Display,TDS,Quanta Computer,54.91
TAB-ZEN-0010,Battery,BAT,Luxshare ICT,24.91
TAB-ZEN-0010,Speaker Unit,SPK,Pegatron,3.88
TAB-ZEN-0010,Charging Port,CHG,Luxshare ICT,10.62
LAP-NIM-0012,Motherboard,MB,Wistron,181.53
LAP-NIM-0012,Display Panel,DSP,Pegatron,88.19
LAP-NIM-0012,Battery,BAT,Wistron,33.38
LAP-NIM-0012,SSD Storage,SSD,Delta Electronics,95.12
LAP-NIM-0012,RAM Module,RAM,Delta Electronics,47.95
LAP-NIM-0012,Keyboard Assembly,KB,Delta Electronics,17.36
LAP-NIM-0012,Cooling Fan,FAN,Pegatron,9.22
LAP-NIM-0012,Webcam Module,CAM,Foxlink Corp,4.69
PHN-EMB-0013,Logic Board,LB,Delta Electronics,141.29
PHN-EMB-0013,OLED Display,OLD,Delta Electronics,95.81
PHN-EMB-0013,Battery,BAT,Foxlink Corp,26.24
PHN-EMB-0013,Camera Module,CAM,Foxlink Corp,44.4
PHN-EMB-0013,Charging Port,CHG,Quanta Computer,3.92
PHN-EMB-0013,Speaker Unit,SPK,Delta Electronics,9.06
TAB-EMB-0011,Logic Board,LB,Wistron,159.27
TAB-EMB-0011,Touch Display,TDS,Wistron,38.43
TAB-EMB-0011,Battery,BAT,Foxlink Corp,18.52
TAB-EMB-0011,Speaker Unit,SPK,Pegatron,3.52
TAB-EMB-0011,Charging Port,CHG,Foxlink Corp,4.75
LAP-ZEN-0013,Motherboard,MB,Delta Electronics,119.56
LAP-ZEN-0013,Display Panel,DSP,Wistron,108.38
LAP-ZEN-0013,Battery,BAT,Luxshare ICT,58.75
LAP-ZEN-0013,SSD Storage,SSD,Foxlink Corp,114.84
LAP-ZEN-0013,RAM Module,RAM,Luxshare ICT,62.81
LAP-ZEN-0013,Keyboard Assembly,KB,Delta Electronics,28.6
LAP-ZEN-0013,Cooling Fan,FAN,Wistron,5.56
LAP-ZEN-0013,Webcam Module,CAM,Delta Electronics,4.27
PHN-ORB-0014,Logic Board,LB,Foxlink Corp,249.98
PHN-ORB-0014,OLED Display,OLD,Luxshare ICT,105.94
PHN-ORB-0014,Battery,BAT,Foxlink Corp,32.85
PHN-ORB-0014,Camera Module,CAM,Quanta Computer,51.85
PHN-ORB-0014,Charging Port,CHG,Delta Electronics,9.1
PHN-ORB-0014,Speaker Unit,SPK,Foxlink Corp,6.97
LAP-ZEN-0014,Motherboard,MB,Quanta Computer,92.55
LAP-ZEN-0014,Display Panel,DSP,Foxlink Corp,121.25
LAP-ZEN-0014,Battery,BAT,Quanta Computer,40.41
LAP-ZEN-0014,SSD Storage,SSD,Delta Electronics,88.08
LAP-ZEN-0014,RAM Module,RAM,Foxlink Corp,62.94
LAP-ZEN-0014,Keyboard Assembly,KB,Quanta Computer,29.59
LAP-ZEN-0014,Cooling Fan,FAN,Quanta Computer,15.43
LAP-ZEN-0014,Webcam Module,CAM,Luxshare ICT,11.89
TAB-ORB-0012,Logic Board,LB,Foxlink Corp,89.99
TAB-ORB-0012,Touch Display,TDS,Pegatron,61.55
TAB-ORB-0012,Battery,BAT,Quanta Computer,36.74
TAB-ORB-0012,Speaker Unit,SPK,Wistron,5.33
TAB-ORB-0012,Charging Port,CHG,Quanta Computer,8.8
LAP-SOL-0015,Motherboard,MB,Delta Electronics,176.49
LAP-SOL-0015,Display Panel,DSP,Quanta Computer,172.46
LAP-SOL-0015,Battery,BAT,Quanta Computer,65.08
LAP-SOL-0015,SSD Storage,SSD,Foxlink Corp,35.79
LAP-SOL-0015,RAM Module,RAM,Wistron,45.47
LAP-SOL-0015,Keyboard Assembly,KB,Delta Electronics,23.83
LAP-SOL-0015,Cooling Fan,FAN,Foxlink Corp,6.95
LAP-SOL-0015,Webcam Module,CAM,Luxshare ICT,7.96
WCH-ORB-0003,Logic Board,LB,Quanta Computer,60.32
WCH-ORB-0003,Display,DSP,Pegatron,18.12
WCH-ORB-0003,Battery,BAT,Luxshare ICT,17.05
WCH-ORB-0003,Sensor Module,SEN,Delta Electronics,15.09
WCH-ORB-0003,Strap/Band,STR,Delta Electronics,6.52
EAR-ZEN-0004,Battery,BAT,Foxlink Corp,5.13
EAR-ZEN-0004,Speaker Driver,SPD,Quanta Computer,3.98
EAR-ZEN-0004,Charging Case,CSE,Delta Electronics,12.29
EAR-ZEN-0004,Bluetooth Chip,BTC,Foxlink Corp,5.11
EAR-ZEN-0005,Battery,BAT,Quanta Computer,7.85
EAR-ZEN-0005,Speaker Driver,SPD,Pegatron,5.83
EAR-ZEN-0005,Charging Case,CSE,Quanta Computer,14.19
EAR-ZEN-0005,Bluetooth Chip,BTC,Luxshare ICT,3.6
TAB-EMB-0013,Logic Board,LB,Delta Electronics,130.64
TAB-EMB-0013,Touch Display,TDS,Delta Electronics,89.43
TAB-EMB-0013,Battery,BAT,Pegatron,29.39
TAB-EMB-0013,Speaker Unit,SPK,Quanta Computer,8.77
TAB-EMB-0013,Charging Port,CHG,Delta Electronics,4.65
TAB-SOL-0014,Logic Board,LB,Pegatron,55.42
TAB-SOL-0014,Touch Display,TDS,Wistron,48.3
TAB-SOL-0014,Battery,BAT,Delta Electronics,15.45
TAB-SOL-0014,Speaker Unit,SPK,Delta Electronics,9.77
TAB-SOL-0014,Charging Port,CHG,Pegatron,3.37
PHN-EMB-0015,Logic Board,LB,Luxshare ICT,221.65
PHN-EMB-0015,OLED Display,OLD,Wistron,44.19
PHN-EMB-0015,Battery,BAT,Pegatron,12.94
PHN-EMB-0015,Camera Module,CAM,Luxshare ICT,35.51
PHN-EMB-0015,Charging Port,CHG,Luxshare ICT,10.0
PHN-EMB-0015,Speaker Unit,SPK,Pegatron,5.36
LAP-VOR-0016,Motherboard,MB,Quanta Computer,99.88
LAP-VOR-0016,Display Panel,DSP,Quanta Computer,135.65
LAP-VOR-0016,Battery,BAT,Delta Electronics,45.18
LAP-VOR-0016,SSD Storage,SSD,Pegatron,27.22
LAP-VOR-0016,RAM Module,RAM,Quanta Computer,88.96
LAP-VOR-0016,Keyboard Assembly,KB,Pegatron,17.06
LAP-VOR-0016,Cooling Fan,FAN,Quanta Computer,16.7
LAP-VOR-0016,Webcam Module,CAM,Quanta Computer,10.53
TAB-VOR-0015,Logic Board,LB,Foxlink Corp,102.04
TAB-VOR-0015,Touch Display,TDS,Quanta Computer,45.92
TAB-VOR-0015,Battery,BAT,Quanta Computer,22.23
TAB-VOR-0015,Speaker Unit,SPK,Luxshare ICT,6.03
TAB-VOR-0015,Charging Port,CHG,Luxshare ICT,3.37
LAP-SOL-0017,Motherboard,MB,Luxshare ICT,80.84
LAP-SOL-0017,Display Panel,DSP,Luxshare ICT,90.78
LAP-SOL-0017,Battery,BAT,Foxlink Corp,45.57
LAP-SOL-0017,SSD Storage,SSD,Quanta Computer,96.45
LAP-SOL-0017,RAM Module,RAM,Delta Electronics,63.96
LAP-SOL-0017,Keyboard Assembly,KB,Foxlink Corp,10.78
LAP-SOL-0017,Cooling Fan,FAN,Luxshare ICT,19.94
LAP-SOL-0017,Webcam Module,CAM,Foxlink Corp,9.23
LAP-VOR-0018,Motherboard,MB,Quanta Computer,90.99
LAP-VOR-0018,Display Panel,DSP,Delta Electronics,87.42
LAP-VOR-0018,Battery,BAT,Luxshare ICT,54.31
LAP-VOR-0018,SSD Storage,SSD,Foxlink Corp,113.41
LAP-VOR-0018,RAM Module,RAM,Pegatron,77.48
LAP-VOR-0018,Keyboard Assembly,KB,Delta Electronics,32.69
LAP-VOR-0018,Cooling Fan,FAN,Pegatron,9.86
LAP-VOR-0018,Webcam Module,CAM,Quanta Computer,5.47
PHN-NIM-0016,Logic Board,LB,Pegatron,95.84
PHN-NIM-0016,OLED Display,OLD,Quanta Computer,146.08
PHN-NIM-0016,Battery,BAT,Wistron,15.21
PHN-NIM-0016,Camera Module,CAM,Delta Electronics,42.71
PHN-NIM-0016,Charging Port,CHG,Foxlink Corp,5.87
PHN-NIM-0016,Speaker Unit,SPK,Quanta Computer,3.59
TAB-SOL-0016,Logic Board,LB,Wistron,70.96
TAB-SOL-0016,Touch Display,TDS,Quanta Computer,92.77
TAB-SOL-0016,Battery,BAT,Wistron,16.72
TAB-SOL-0016,Speaker Unit,SPK,Pegatron,2.92
TAB-SOL-0016,Charging Port,CHG,Wistron,3.44
TAB-VOR-0017,Logic Board,LB,Quanta Computer,175.6
TAB-VOR-0017,Touch Display,TDS,Pegatron,82.19
TAB-VOR-0017,Battery,BAT,Foxlink Corp,31.28
TAB-VOR-0017,Speaker Unit,SPK,Pegatron,4.02
TAB-VOR-0017,Charging Port,CHG,Quanta Computer,8.67
PHN-ORB-0017,Logic Board,LB,Wistron,202.83
PHN-ORB-0017,OLED Display,OLD,Wistron,69.12
PHN-ORB-0017,Battery,BAT,Wistron,24.43
PHN-ORB-0017,Camera Module,CAM,Foxlink Corp,29.89
PHN-ORB-0017,Charging Port,CHG,Delta Electronics,6.98
PHN-ORB-0017,Speaker Unit,SPK,Foxlink Corp,6.92
PHN-ZEN-0018,Logic Board,LB,Pegatron,123.35
PHN-ZEN-0018,OLED Display,OLD,Luxshare ICT,67.9
PHN-ZEN-0018,Battery,BAT,Pegatron,34.15
PHN-ZEN-0018,Camera Module,CAM,Wistron,56.78
PHN-ZEN-0018,Charging Port,CHG,Luxshare ICT,9.6
PHN-ZEN-0018,Speaker Unit,SPK,Delta Electronics,2.27
WCH-SOL-0004,Logic Board,LB,Luxshare ICT,34.55
WCH-SOL-0004,Display,DSP,Pegatron,30.13
WCH-SOL-0004,Battery,BAT,Foxlink Corp,9.73
WCH-SOL-0004,Sensor Module,SEN,Delta Electronics,7.64
WCH-SOL-0004,Strap/Band,STR,Foxlink Corp,9.96
WCH-NIM-0005,Logic Board,LB,Foxlink Corp,21.11
WCH-NIM-0005,Display,DSP,Wistron,34.85
WCH-NIM-0005,Battery,BAT,Wistron,6.38
WCH-NIM-0005,Sensor Module,SEN,Quanta Computer,15.68
WCH-NIM-0005,Strap/Band,STR,Pegatron,9.59
LAP-SOL-0019,Motherboard,MB,Wistron,81.4
LAP-SOL-0019,Display Panel,DSP,Quanta Computer,131.11
LAP-SOL-0019,Battery,BAT,Foxlink Corp,27.93
LAP-SOL-0019,SSD Storage,SSD,Delta Electronics,113.98
LAP-SOL-0019,RAM Module,RAM,Quanta Computer,68.06
LAP-SOL-0019,Keyboard Assembly,KB,Luxshare ICT,12.87
LAP-SOL-0019,Cooling Fan,FAN,Luxshare ICT,7.17
LAP-SOL-0019,Webcam Module,CAM,Quanta Computer,10.04
EAR-SOL-0006,Battery,BAT,Foxlink Corp,6.87
EAR-SOL-0006,Speaker Driver,SPD,Pegatron,3.51
EAR-SOL-0006,Charging Case,CSE,Pegatron,13.82
EAR-SOL-0006,Bluetooth Chip,BTC,Quanta Computer,7.52
EAR-VOR-0007,Battery,BAT,Pegatron,5.61
EAR-VOR-0007,Speaker Driver,SPD,Delta Electronics,9.6
EAR-VOR-0007,Charging Case,CSE,Foxlink Corp,5.82
EAR-VOR-0007,Bluetooth Chip,BTC,Pegatron,3.31
PHN-VOR-0019,Logic Board,LB,Delta Electronics,74.54
PHN-VOR-0019,OLED Display,OLD,Foxlink Corp,66.14
PHN-VOR-0019,Battery,BAT,Foxlink Corp,32.79
PHN-VOR-0019,Camera Module,CAM,Pegatron,15.56
PHN-VOR-0019,Charging Port,CHG,Delta Electronics,8.91
PHN-VOR-0019,Speaker Unit,SPK,Delta Electronics,3.14
PHN-VOR-0020,Logic Board,LB,Luxshare ICT,163.29
PHN-VOR-0020,OLED Display,OLD,Luxshare ICT,95.76
PHN-VOR-0020,Battery,BAT,Pegatron,20.38
PHN-VOR-0020,Camera Module,CAM,Wistron,22.86
PHN-VOR-0020,Charging Port,CHG,Luxshare ICT,3.57
PHN-VOR-0020,Speaker Unit,SPK,Luxshare ICT,2.39
PHN-NIM-0021,Logic Board,LB,Luxshare ICT,210.94
PHN-NIM-0021,OLED Display,OLD,Quanta Computer,99.22
PHN-NIM-0021,Battery,BAT,Luxshare ICT,31.11
PHN-NIM-0021,Camera Module,CAM,Foxlink Corp,56.05
PHN-NIM-0021,Charging Port,CHG,Quanta Computer,9.68
PHN-NIM-0021,Speaker Unit,SPK,Foxlink Corp,3.4
WCH-EMB-0006,Logic Board,LB,Luxshare ICT,33.07
WCH-EMB-0006,Display,DSP,Wistron,16.36
WCH-EMB-0006,Battery,BAT,Luxshare ICT,16.59
WCH-EMB-0006,Sensor Module,SEN,Wistron,23.86
WCH-EMB-0006,Strap/Band,STR,Wistron,11.25
EAR-VOR-0008,Battery,BAT,Luxshare ICT,5.82
EAR-VOR-0008,Speaker Driver,SPD,Pegatron,6.92
EAR-VOR-0008,Charging Case,CSE,Wistron,14.69
